Symbol,Security,sector,etf
MMM,3M Company,Industrials,XLI
ABT,Abbott Laboratories,Health Care,XLV
ABBV,AbbVie Inc.,Health Care,XLV
ACN,Accenture plc,Information Technology,XLK
ATVI,Activision Blizzard,Software/Internet,IGV
AYI,Acuity Brands Inc,Industrials,XLI
ADBE,Adobe Systems Inc,Software/Internet,IGV
AMD,Advanced Micro Devices Inc,Semiconductors,SMH
AAP,Advance Auto Parts,Retail,XRT
AES,AES Corp,Utilities,XLU
AET,Aetna Inc,Health Care,XLV
AMG,Affiliated Managers Group Inc,Financials,XLF
AFL,AFLAC Inc,Financials,XLF
A,Agilent Technologies Inc,Health Care,XLV
APD,Air Products & Chemicals Inc,Materials,XLB
AKAM,Akamai Technologies Inc,Information Technology,XLK
ALK,Alaska Air Group Inc,Transportation,IYT
ALB,Albemarle Corp,Materials,XLB
ARE,Alexandria Real Estate Equities Inc,Real Estate,IYR
ALXN,Alexion Pharmaceuticals,Health Care,XLV
ALGN,Align Technology,Health Care,XLV
ALLE,Allegion,Industrials,XLI
AGN,"Allergan, Plc",Health Care,XLV
ADS,Alliance Data Systems,Information Technology,XLK
LNT,Alliant Energy Corp,Utilities,XLU
ALL,Allstate Corp,Financials,XLF
GOOGL,Alphabet Inc Class A,Information Technology,XLK
GOOG,Alphabet Inc Class C,Information Technology,XLK
MO,Altria Group Inc,Consumer Staples,XLP
AMZN,Amazon.com Inc,Consumer Discretionary,XLY
AEE,Ameren Corp,Utilities,XLU
AAL,American Airlines Group,Transportation,IYT
AEP,American Electric Power,Utilities,XLU
AXP,American Express Co,Financials,XLF
AIG,"American International Group, Inc.",Financials,XLF
AMT,American Tower Corp A,Real Estate,IYR
AWK,American Water Works Company Inc,Utilities,XLU
AMP,Ameriprise Financial,Financials,XLF
ABC,AmerisourceBergen Corp,Health Care,XLV
AME,AMETEK Inc,Industrials,XLI
AMGN,Amgen Inc,Health Care,XLV
APH,Amphenol Corp,Information Technology,XLK
APC,Anadarko Petroleum Corp,Energy,XLE
ADI,"Analog Devices, Inc.",Semiconductors,SMH
ANDV,Andeavor,Energy,XLE
ANSS,ANSYS,Software/Internet,IGV
ANTM,Anthem Inc.,Health Care,XLV
AON,Aon plc,Financials,XLF
AOS,A.O. Smith Corp,Industrials,XLI
APA,Apache Corporation,Energy,XLE
AIV,Apartment Investment & Management,Real Estate,IYR
AAPL,Apple Inc.,Information Technology,XLK
AMAT,Applied Materials Inc,Semiconductors,SMH
APTV,Aptiv Plc,Consumer Discretionary,XLY
ADM,Archer-Daniels-Midland Co,Consumer Staples,XLP
ARNC,Arconic Inc,Industrials,XLI
